Theme;Answer
Илон Маск написал в „Твиттере“, что компания, в которую я инвестировал — это не круто, и ее акции обвалились. А я их только вчера купил, видимо, надо продать;Рынок зависит от лидеров мнений — публичных людей, за которыми следят, даже если они не разбираются в финансах. сейчас не столько критики влияют на продажи книг, сколько блогеры и селебрити. Так же примерно происходит и с финансовым рынком: то, что покупают массовые инвесторы, может зависеть от заявлений известных людей. Подобные заявления — это информационный шум. Он может повлиять на динамику акций компаний, но если за этими словами не стоит никаких фундаментальных причин, то скачок в цене будет краткосрочным. Чтобы не вестись на шум, инвесторам важно делать «домашнюю работу»: изучать заинтересовавшие компании. Конечно, начинающим инвесторам сложно разобраться во всех нюансах — не хватает знаний и интуиции. Поэтому и торговать акциями отдельных компаний им не рекомендуется — лучше вкладываться в биржевые фонды. Подобные «корзины» инструментов в гораздо меньшей степени подвержены скачкам цен, хотя бы потому, что помимо акций просевшей компании в корзине будут акции и других компаний, про которые Илон Маск не говорит.
Купил кучу акций ради дивидендов, а их сократили. Чувствую себя неудачником;Брокерские компании, банки и инвестиционные порталы регулярно публикуют прогнозы выплаты дивидендов. Их формируют на основе финансовой отчетности компаний. Разумеется, прогнозы могут не оправдываться. Сокращение дивидендов в большинстве случаев — это признак плохого финансового положения компании: снижения выручки, роста долгов и прочего. Однако иногда это означает подготовку компании к приобретению другой компании или решению по обратному выкупу акций — это хороший знак. Помимо дивидендной доходности акции держат и ради роста их стоимости. Решение о том, продавать или держать их, стоит принимать исходя из своей инвестиционной стратегии. Возможно, компания слишком перспективна, чтобы отказываться от ее акций из-за сокращения дивидендов.
У надежной компании, в которую давно инвестирую, нашли следы мошенничества в отчетах. Котировки упали. Что делать?;Случаи корпоративного мошенничества не так редки. Скандалы с Enron, WorldCom, Volkswagen широко известны. Как правило, суть такого мошенничества в подтасовках бухгалтерского учета, чтобы завысить видимую прибыль компании. На раскрытие махинаций могут потребоваться годы. Когда в конечном итоге корпоративное мошенничество обнаруживается, оно может уничтожить даже транснациональные компании с миллиардными годовыми доходами. К сожалению, такие скандалы — всегда неожиданность. Чтобы не оказаться в ловушке из-за инвестиций в такую компанию, инвестору, опять же, надо диверсифицировать свой портфель. Такие риски можно нивелировать за счет других компаний в портфеле.
Вложился в IPO одной модной компании, а она подешевела через неделю на 50%;Одним из критериев успеха IPO называют скачок цены акций в первый день торгов. По сути, он показывает, что компания по той или иной причине недооценила свою стоимость — инвесторы рассматривают это как шанс заработать. Но на самом деле компании очень часто недооценивают свою стоимость. Почему? С одной стороны, новый бизнес бывает трудно оценить, и недооценка — результат банальных ошибок. С другой стороны, она может быть стратегическим решением инвестиционных банков — андеррайтеров, помогающих компании выйти на биржу. При запуске торгов они должны обеспечить гладкую торговлю. Разумеется, за комиссию. В некоторых случаях андеррайтерам интересно запустить торги на вторичном рынке с большим объемом и в результате занизить стартовую цену. Торги откроются, произойдет скачок цены.  Когда стратегические нюансы первого дня торгов перестанут иметь значение, рынок нащупывает справедливую стоимость компании. Динамика может оказаться как положительной, так и отрицательной. Например, акции Facebook и Uber какое-то время после IPO падали. Эта динамика может зависеть от фундаментальных показателей бизнеса. Для инвестора IPO не отличается от иных типов инвестиций: он должен не слепо верить в компанию, а тщательно проанализировать ее финансовую отчетность.
Я решил попробовать фьючерсы, потерял кучу денег и еще столько же должен остался;Если так произошло, то вы, вероятно, очень плохо представляли себе, как именно работает фьючерсный контракт. Именно поэтому регуляторы фондовых рынков вводят разнообразные экзамены: они помогают брокерам понять уровень знаний инвесторов и ограничить им доступ к сложным инструментам, если требуется. Но трейдеры часто совершают идиотские ошибки даже при торговле хорошо знакомыми инструментами. В этом виноваты эмоции и усталость, а незнание продукта многократно увеличивает шансы идиотских ошибок. Прежде чем торговать чем-то, проведите сценарный анализ: что произойдет с вашей позицией, обязательствами по ее обеспечению при изменении цены продукта. Еще лучше — протестируйте различные сценарии при изменении процентных ставок, цен на нефть. Только хорошо понимая последствия, вы будете защищены от катастрофических потерь, и, скорее всего, вы просто будете избегать ситуаций, где такие последствия возможны в принципе.
Я купил акции, они выросли — и я на радостях их продал. А они выросли еще на 30% процентов с момента продажи;В такой ситуации сложно не погоревать об упущенных возможностях. Однако задайте себе вопрос: насколько вы были уверены в том, что акции вырастут еще на 30% в момент их продажи? Если не были, то и горевать не имеет смысла: наверняка были основания полагать, что акции упадут в цене. Тем не менее люди постоянно переживают из-за упущенных возможностей. Есть даже «теория сожаления»: страх и ожидание негативных последствий потенциально неправильного выбора влияют на действия инвестора. Например, из-за них он может в одних ситуациях быть излишне консервативными, а в других — наоборот, слишком рисковать. Во время продолжительных «бычьих» рынков — когда все активы дорожают — такой страх заставляет некоторых инвесторов продолжать активно вкладывать деньги, игнорируя при этом признаки надвигающегося краха.  Чтобы эмоции не влияли на решения, инвестиционный процесс нужно автоматизировать: вводить собственные правила. Вы договариваетесь с собой, что действуете по этим правилам, выстраиваете свою стратегию и не переживаете о том, что отклонение от правил могло бы в конкретном случае вам принести еще большую доходность. Главное, как в поговорке, выиграть войну, а не отдельную битву. Если выбранное правило раз за разом оказывается не очень эффективным, думайте, как его улучшить. Именно следование собственной стратегии в долгосрочной перспективе оказываются залогом успеха, а переживания из-за упущенных возможностей ему точно не способствуют.
Вложился в корпоративные облигации на пару миллионов в расчете на высокую доходность, а компания взяла и исчезла с радаров;Если компания выпускает облигации и они торгуются на бирже, то она не может просто «исчезнуть с радаров». Компания связана юридическими обязательствами по выплате процентов по долгу — купонов, а также в большинстве случаев по возвращению номинала облигации, когда истечет срок ее обращения.   Однако и среди облигаций, торгующихся на бирже, есть те, по которым более вероятен дефолт — нарушение обязательства по выплате процентов. В случае дефолта начинается правовое урегулирование ситуации — например, долг могут реструктурировать, заменить облигации на другие с более низким купоном. Даже когда реструктуризация невозможна, у компании есть какие-то активы, которые можно продать в счет долга. Однако процесс возврата может растянуться на долгие годы, при этом он будет организован по остаточному принципу: сначала долги вернут по облигациям более старшего типа в структуре капитала обанкротившейся компании.
Мне было лень разбираться с налогами — я думал, это сущие копейки. Но они съели огромную часть моего дохода. Лучше бы не начинал;Налоговые ставки могут зависеть от типа счета, на который регистрируются доходы, типа инвестиций, типа самих доходов и других факторов. Так или иначе, инвесторы должны отдавать себе отчет в том, что доход от торговли ценными бумагами почти всегда облагается каким-то налогом. Практика, однако, показывает, что мало кто это делает. По данным одного американского исследования, около трети инвесторов не понимают термина «эффективное инвестирование с точки зрения налогообложения» и не могут привести пример таких инвестиций Запутанность налогообложения — не повод его не изучать. Инвестирование требует педантичного подхода. Вы должны учесть не только налоги, но и размер брокерских комиссий и прочих транзакционных издержек, которые также могут оказаться весьма существенными. К сожалению, мобильные приложения для массовых инвесторов почти никогда не показывают статистику по уплаченным комиссионным и доходность с учетом комиссий. Это придется считать самому в «Экселе». Но только так вы увидите истинную прибыльность своих действий на фондовом рынке.
Что такое финансовый пузырь;"Пузырь — это когда цены активов стремительно растут до несправедливых отметок, а потом так же резко падают. Отделить разумный рост во время экономического подъема от спекулятивного пузыря сложно. Его количественного критерия также не существует, поэтому достоверно можно судить о пузыре только после того, как он схлопнулся. Алан Гринспен, бывший председатель совета управляющих ФРС США, пишет в своей книге «Эпоха потрясений», что если фондовый рынок упал на 30—40% в течение нескольких недель или месяцев, значит, пузырь был. Есть и другие определения пузырей, например:

когда цены на акции не соответствуют справедливой стоимости компаний, то есть их нельзя объяснить фундаментальными факторами;
когда финансовый рынок больше влияет на реальную экономику, чем реальная экономика на финансовый рынок. Например, торговая палата США считает, что увеличение пособий по безработице влечет снижение занятости населения. Некоторым американцам для жизни вполне хватает социальных выплат, и они не стремятся трудоустраиваться. Таким образом, это негативно сказывается на реальной экономике. Когда ФРС стимулирует экономику, это поддерживает фондовый рынок, ценные бумаги дорожают, а инвесторы не обращают внимания на макроэкономические показатели."
Что такое медвежий рынок;Это падение рынка более чем на 20% от предыдущего максимума. Например, мы наблюдали медвежьи рынки в 2008 и 2020 годах — просадки индекса S&P 500 составили 56,8% и 33,9% соответственно. Всего с 1960 по 2021 год в США произошло 15 медвежьих рынков, из которых 10 сопровождались рецессией в экономике. Средняя длительность медвежьих рынков составила 306 дней, а американские индексы при этом падали в среднем на 29,5%.
Как влияют финансовые пузыри  на экономику?;Обычно аналитики говорят о негативном влиянии пузырей: экономика перегревается, в какие-то из ее секторов поступает много денег, а другие испытывают сложности. В долгосрочной перспективе это приводит к потере благосостояния.  Из-за раздутых пузырей может произойти следующее. Уменьшается ликвидность. На пике пузыря сложно продать активы без потери в цене. Как только инвесторы начинают массово фиксировать прибыль, котировки резко падают, и пузырь лопается. Деньги становятся дороже, потому что Центробанки и ФРС поднимают ключевые ставки. Увеличивается количество «плохих» долгов, стоимость залогов уменьшается, и банки тоже поднимают процентные ставки.Наступает экономический кризис или даже затяжная рецессия. Не все пузыри приводят к экономическим кризисам. Большие пузыри, захватывающие многие отрасли экономики, могут привести к кризису, а локальные пузыри — например, в какой-то одной ценной бумаге, — скорее всего, нет.
Какие бывают финансовые пузыри?;По степени охвата рынков пузыри делят на макро- и мини-мании. Макропузыри охватывают несколько экономических секторов — например, недвижимость и фондовый рынок. Они влияют на экономику целых стран, даже мира. Примеры макропузырей: компания Южных морей, пузырь в Японии 1980-х годов и пузырь доткомов. Микропузыри не влияют на экономику и охватывают лишь отдельные секторы и компании. Например, в 1983 году на 80% обрушились акции Apple, Micron и других технологических предприятий. Во время микроманий падают в цене компании, которые до этого сильно выросли в цене. Потом они достаточно быстро восстанавливаются. По поведению людей пузыри делят на рациональные и иррациональные. Во время рациональных пузырей инвесторы знают, что активы переоценены, но они готовы платить, потому что надеются продать их до того, как пузырь лопнет. Рациональные пузыри обычно возникают на специфических рынках, где стоимость активов трудно оценить — например, предметы искусства. В иррациональных пузырях инвесторы не знают, что активы переоценены. Они верят, что цены будут расти бесконечно и часто покупают на максимумах. Иррациональные пузыри тесно связаны с психологией, поэтому их еще называют спекулятивными.
Что такое инвестирование;Инвестирование — это вложение собственных или заемных средств с целью получить прибыль. Инвестировать можно как в финансовые инструменты, например, ценные бумаги, так и в недвижимость, промышленность и так далее. Доход при инвестировании может формироваться разными способами в зависимости от выбранной стратегии.
Зачем  инвестировать?;"Смысл инвестиций — достигнуть поставленных финансовых целей, например: сформировать финансовую «подушку безопасности», ее можно положить на вклад с возможностью частичного снятия; заработать необходимую сумму на серьезные покупки; защитить свой капитал от заработать необходимую сумму на серьезные покупки; защитить свой капитал от инфляции; застраховать свой постоянный источник заработка дополнительным доходом от инвестиций; приумножить финансы для своих детей;создать свой личный пенсионный фонд, который через много лет будет приносить пассивный доход."
Что такое диверсифицированный портфель;Инвестор должен понимать, что инвестиции — это всегда риск. Вне зависимости от того, какой актив вы выберете, вы рискуете потерять как минимум часть своего капитала. Чтобы снизить вероятность таких потерь, рекомендуется раскладывать деньги по разным активам так, чтобы в случае проблем с одним из них, другие оказались в безопасности и защитили ваши накопления. Это называется диверсификацией рисков. Приведем пример. Какую-то часть средств инвестор положил на банковский вклад. Если банк входит в систему страхования вкладов, то сумма до ?1,4 млн будет защищена государством. Другую часть инвестор вложил в наименее рисковые ценные бумаги, например, в государственные облигации (ОФЗ), еще часть — в золото, и какой-то процент капитала вложил в акции. Распределение может быть разным в зависимости от ваших целей и склонности к риску.
Каким сервисом пользоваться чтобы оценить ценным бумаги;Conomy.ru - Это сервис, где можно посмотреть все основные параметры акций разных компаний. История дивидендных выплат, финансовые отчеты, мультипликаторы  , потенциал роста, капитал, долги, крупнейшие акционеры компании, отрасль, график цены акций. Из минусов — нет акций иностранных компаний, только российские. Облигаций нет. Новости только в виде общего дайджеста, на страничке каждой компании отдельно их нет.
Каким сервисом пользоваться чтобы составить демопортфель;"Black Terminal- Сервис представляет из себя большую базу данных о компаниях на фондовом рынке, как и Conomy. Вся необходимая информация по каждой акции и облигации. Есть российские и иностранные бумаги. Можно создать демопортфель и следить за ним. А если перейти на платный тариф, можно отслеживать сразу несколько счетов от разных брокеров в одном месте. На странице каждой акции подтягиваются новости по компании.
"
"Каким сервисом пользоваться чтобы искать инвестиционные идеи от разных брокеров
";"Инвестидеи - В одном месте собраны идей по сделкам от разных брокеров. Это советы о том, куда вложить деньги на фондовом рынке. Каждая инвестиционная идея — это карточка, где подробно написано, что покупать, когда, за какую цену, сколько времени держать в портфеле, когда продавать, какая будет прибыль, если все пойдет по плану. Брокеры и компании, которые предоставляют свои идеи сервису, получают рейтинг за то, как часто их прогнозы сбывались. Инвестидеи можно удобно сортировать и выбрать, куда инвестировать: в акции, облигации, фонды, валюту или товары. Чтобы искать инвестидеи по более узким параметрам, нужно оплатить подписку.
"
"Каким сервисом пользоваться Чтобы найти информацию по любым бумагам
";Investing.com - Множество информации об инвестициях почти во все финансовые инструменты. От форекса и криптовалюты до ОФЗ и голубых фишек  . Можно найти аналитику, графики цен, финансовую отчетность, новости, советы, комментарии других инвесторов на форуме, технический и фундаментальный анализ, календарь отчетностей, дивидендов, IPO, калькуляторы доходности и другое. Представлены российские и мировые компании.
"Каким сервисом пользоваться чтобы самостоятельно мониторить отчеты российских компаний
";"E-disclosure - На этом сайте российские компании, которые торгуются на фондовой бирже, публикуют свои финансовые отчеты. Это официальный ресурс. Здесь отчеты появляются быстрее, чем на сайтах компаний. Можно найти квартальные и годовые финансовые отчеты по международным (МСФО) и российским (РСБУ) стандартам. Их можно скачать. Здесь также пресс-релизы о выплате дивидендов, собраниях акционеров, решения совета директоров. Язык в отчетах и релизах очень официальный. Придется разбираться в терминах.
"
"Каким сервисом пользоваться чтобы искать высокие дивиденды
";"Доход - Искать акции с высокой дивидендной доходностью удобно с помощью сайта «Доход». Можно сортировать по столбику «Доходность выплат» и выбрать максимальную величину. Также можно посмотреть даты закрытия реестров, размеры дивидендов в рублях и в процентах годовых, коэффициенты стабильности выплат дивидендов, период, за который компания начисляла выплаты, капитализацию  и отрасль компании. Еще на сервисе есть поиск и анализ акций по фундаментальным параметрам, а также облигаций.
"
"Каким сервисом пользоваться чтобы следить за иностранными компаниями
";" Yahoo.finance - Если хочется следить за иностранными бумагами, можно воспользоваться Yahoo.finance. В поиске сайта можно найти компанию по тикеру  или названию и перейти на ее страничку. Там финансовые отчеты, котировки, дивиденды  , комментарии пользователей и общее описание деятельности компании. Все на английском. На странице каждой компании есть лента новостей из разных СМИ, которые упоминали в своих статьях компанию, и отдельно пресс-релизы с официального сайта.
"
"Каким сервисом пользоваться чтобы следить за иностранными компаниями
";
Что такое маржинальная торговля;Торговля с использованием заемных средств брокера
 Может ли взиматься плата за использование средств, предоставленных брокером при маржинальной торговле?;Может, если это предусмотрено договором с брокером
В каком случае брокер может принудительно закрыть позицию клиента при наличии ранее заключенных маржинальных / необеспеченных сделок?;В случае недостаточности обеспечения по маржинальной/необеспеченной позиции
Вы получили убыток от инвестиций на срочном рынке. Возместят ли Вам ваши убытки?;Нет, убыток не возместят
 Вы имеете один фьючерсный контракт на акции. Цена акций резко упала. Что дальше?;В данном случае события могут развиваться следующим образом: брокер потребует от Вас внести дополнительное обеспечение и в случае, если Вы этого не сделаете, Вы либо брокер закроете Вашу позицию, но баланс Вашего счёта может стать отрицательным
 Вы являетесь покупателем по первой части договора РЕПО. По ценным бумагам, которые Вы получили по договору РЕПО, осуществлена выплата денежных средств или передано иное имущество, в том числе в виде дивидендов или процентов (доход). В каком случае Вы обязаны передать сумму такого дохода продавцу по договору РЕПО?;В любом случае, даже если Вы этот доход фактически не получили
Продавец передал в собственность покупателя ценные бумаги по договору РЕПО (в случае отсутствия в договоре оговорки о возможности возврата иного количества ценных бумаг). Как риск невозврата ценных бумаг, переданных по первой части договора РЕПО, для продавца может реализоваться?;При неисполнении покупателем своих обязательств по договору РЕПО, а также при погашении ценных бумаг
Может ли инвестор по структурной облигации при ее погашении получить выплату меньше ее номинальной стоимости?;Да, может
Что такое Инвестиционный пай;Ценная бумага, удостоверяющая долю в праве собственности на имущество паевого инвестиционного фонда
 Каким образом выплата промежуточного дохода по инвестиционным паям закрытого паевого инвестиционного фонда влияет на расчетную стоимость пая? ;Расчетная стоимость пая, как правило (при прочих равных условиях): снижается
Если инвестор принимает решение продать принадлежащие ему паи закрытого паевого инвестиционного фонда, как быстро он может осуществить продажу?;Невозможно определить, поскольку заключить сделку можно только при условии, что найдется покупатель
Допускается ли вторичное обращение паев закрытого паевого инвестиционного фонда?;Да, если это предусмотрено правилами доверительного управления фондом
Что такое кредитный рейтинг облигаций ;Оценка кредитным рейтинговым агентством способности компании-эмитента облигаций выполнять взятые на себя финансовые обязательства по этим облигациям
Если инвестор принимает решение продать принадлежащие ему низколиквидные облигации, как быстро он может это сделать?;"Невозможно определить, поскольку заключить сделку можно только при условии, что найдётся покупатель; Выполнять взятые на себя финансовые обязательства по этим облигациям невозможно определить, поскольку заключить сделку можно только при наличии покупателя"
Что отсутствие кредитного рейтинга выпуска для любого выпуска облигаций означает?;Отсутствие мнения кредитного рейтингового агентства о кредитном риске данного выпуска облигаций
Если инвестор принимает решение продать принадлежащие ему низколиквидные облигации, как быстро он может это сделать?;Невозможно определить, поскольку заключить сделку можно только при условии, что найдётся покупатель
Можно ли в дату приобретения облигации, величина и (или) факт выплаты купонного дохода по которым зависит от изменения стоимости какого-либо актива (изменения значения какого-либо показателя) или наступления иного обстоятельства (облигаций со структурным доходом), точно рассчитать общий размер купонного дохода по такой облигации, который будет выплачен ее эмитентом?;Нет, размер купонного дохода не может быть точно рассчитан, поскольку известен порядок расчета, но не известны точная рыночная стоимость активов и (или) точные значения финансовых показателей, от которых зависит величина купонного дохода
Возможно ли точно определить, как повлияет изменение рыночной стоимости активов и (или) значений финансовых показателей, от которых зависит размер купонного дохода по облигации со структурным доходом, на цену продажи такой облигации инвестором на вторичном рынке?;Нет, точно определить невозможно поскольку на цену облигации со структурным доходом влияет значительное число факторов
Вы получили убытки от совершения сделок с акциями. Возместят ли Вам Ваши убытки?;Нет, не возместят
Если инвестор принимает решение продать принадлежащую ему акцию, как быстро он может это сделать?;Точная дата не может быть определена
Что ликвидность акций характеризует;Способность инвестора продать акцию с минимальными потерями в минимальный для него срок
Как устроен механизм формирования цены ETF?;Формируется не на биржевом рынке паев ETF, а на рынке, где обращаются базовые активы, составляющие ETF. Если цена паев фонда окажется выше, чем стоимость его портфеля, приходящаяся на один пай ETF, то авторизованный участник фонда, действуя исключительно в своих интересах за счет операций на первичном и вторичном рынке, вернет цену к справедливому уровню
Когда не надо платить налоги;Если продажа или покупка ценных бумаг или валюты приводят к убыткам, то НДФЛ не будет. Налогом не облагают и прирост стоимости актива до его продажи. Если 1 января ваша акция стоила 1000 ?, а на конец года — 10 000 ?, но вы ее не продали, платить НДФЛ не придется. Если продажа или покупка ценных бумаг или валюты приводят к убыткам, то НДФЛ не будет. Налогом не облагают и прирост стоимости актива до его продажи. Если 1 января ваша акция стоила 1000 ?, а на конец года — 10 000 ?, но вы ее не продали, платить НДФЛ не придется.Людям в некоторых случаях можно не платить НДФЛ, если доход получен от купли или продажи зарубежных акций и налог уплачен другой стране. Чтобы узнать, нужно ли платить НДФЛ, надо проверить, есть ли у России с этой страной соглашение об избежании двойного налогообложения. Если есть, можно зачесть уплаченный за рубежом налог в счет уплаты НДФЛ в России.
